X,Y,OBJECTID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.622491353188906,35.655252116634479,137,ひだまり保育園,保育園,私立保育園,船橋4-3-2, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00025980.html
139.620934162336738,35.648021801008824,138,すこやか園,保育園,私立保育園,船橋1-30-9, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011779.html
139.60343818914501,35.657413719665477,139,世田谷つくしんぼ保育園,保育園,私立保育園,祖師谷6-33-5, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00024862.html
139.612477266596926,35.648158111743932,140,祖師谷わかば保育園,保育園,私立保育園,祖師谷2-5-38, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011777.html
139.606915986649057,35.657801228622368,141,千歳保育園,保育園,私立保育園,千歳台6-16-12, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011780.html
139.615193049173513,35.652041404577481,142,千歳なないろ保育園,保育園,私立保育園,千歳台3-17-5, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00025979.html
139.622217252324816,35.647229945581245,143,エクレール保育園,保育園,認証保育所,船橋1-11-2, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011884.html
139.621471833515926,35.648154979657328,144,めぐみマテルネル,保育園,認証保育所,船橋1-30-19, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00022615.html
139.60388426304317,35.664676027401157,145,ゆりかご保育園,保育園,認証保育所,粕谷4-7-8, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00022617.html
139.606081796790761,35.664895261883274,146,烏山杉の子保育園,保育園,私立保育園,南烏山2-2-3, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011793.html
139.62091600930097,35.656547146148377,147,太陽の子　世田谷船橋保育園,保育園,私立保育園,船橋4-13-7, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138996.html
139.606486079207968,35.647509254298711,148,ぽこころ保育園　祖師谷,保育園,認証保育所,祖師谷４－４－１６, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00138073.html
139.623436552417303,35.659373134528607,149,ぽけっとランド千歳船橋,保育園,認証保育所,船橋6-16-11,ベル・ヴィラージュ千歳船橋2階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00131245.html
139.612764609935851,35.656513744346022,150,太陽の子めぐりさわ保育園,保育園,認証保育所,千歳台４－１４－１, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00124616.html
139.641422745113459,35.660264131761608,151,赤堤保育園,保育園,区立保育園,赤堤4-1-10, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00127622.html
139.627622043754457,35.654814809496344,152,船橋東保育園,保育園,区立保育園,船橋5-14-19, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011769.html
139.635506409057314,35.649178023005845,153,わかくさ保育園,保育園,区立保育園,経堂1-25-11, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011724.html
139.630184748876047,35.648826461906395,154,烏山杉の子保育園分園 みなみ風,保育園,私立保育園,経堂5-38-14, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033411.html
139.62820779571436,35.648345923351428,155,経堂保育園,保育園,私立保育園,経堂4-13-10, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011733.html
139.631828612533525,35.660317595858395,156,早苗保育園,保育園,私立保育園,桜上水3-18-12, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011746.html
139.635454958828007,35.656919662231495,157,ポピンズナーサリースクール経堂,保育園,認証保育所,赤堤3-32-5, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00033093.html
139.64206416107109,35.658347750505236,158,ゆりかご赤堤園,保育園,認証保育所,赤堤3-2-7, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00033097.html
139.639719268241436,35.664073852431734,159,早苗保育園分園 ほなみ,保育園,私立保育園,赤堤4-34-6, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033412.html
139.624043865600953,35.664000577620641,160,松沢保育園,保育園,区立保育園,上北沢1-32-3, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011781.html
139.628380730694431,35.664729765830621,161,みんなのおうち保育園,保育園,私立保育園,桜上水5-3-28, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138958.html
